Gene	Synonymous	HC LoF
NIPBL	313	1
SCN1A	245	2
NOTCH1	663	2
TSC2	518	5
PTCH1	301	3
SCN5A	98	4
EP300	417	2
CACNA1C	433	11
CACNA1G	434	9
SMARCA4	338	2
ATP2B3	211	1
KCNH2	225	11
FLNA	457	3
TP53	70	1
LMNA	125	3
CREBBP	481	4
RREB1	412	1
GRM7	183	1
CACNA1E	359	1
NAV1	286	1
SCN2A	246	2
DAG1	164	1
F8	166	2
MLH1	105	9
MGAT1	103	1
FGFR2	170	2
NSD1	348	4
RALGAPB	189	1
CASZ1	353	4
BRCA1	215	71
PSEN1	82	2
DYSF	420	74
KIT	164	1
NRXN3	258	1
KCNH4	180	1
RYR1	953	78
COL4A5	146	5
LRP1	836	8
FLNB	483	35
WHSC1	263	3
KCNQ2	191	3
FBN1	405	8
ATP1A3	208	1
HCFC1	285	1
ACTB	120	1
ESR1	106	1
RET	197	2
ABL1	218	1
SOX30	100	1
KCNQ1	150	16
NLRP3	207	11
DLL1	155	1
MECP2	128	6
COL6A3	613	49
FOXK1	158	1
APC	373	13
NUP98	244	12
ATP2B2	257	2
COL1A1	266	9
TBX3	127	1
CACNA1D	328	7
APP	137	8
LRP2	648	27
GRIK3	195	1
TRIM71	183	1
CAMTA1	266	1
SERPINA1	79	10
HELZ	251	2
CTNND2	229	1
DAB2IP	250	1
COL5A2	197	2
ZNF521	233	1
FUS	101	1
CACNA1H	702	20
ATRX	197	4
FGFR1	162	4
CASR	170	10
UBTF	161	1
TSC1	175	3
ATP2B1	138	1
ARSA	85	18
SERPING1	81	1
SCN4A	97	1
SRCAP	528	11
SCN3A	269	7
PCIF1	132	1
ZNF608	235	1
MYH9	409	3
MYH11	416	16
CHAT	140	11
JAG1	204	2
LIN54	92	1
COL2A1	267	6
DHX30	236	1
SETD1A	375	4
FLNC	555	17
TP63	130	6
ATP2A3	264	22
WFS1	330	31
ADNP	190	3
RLF	236	1
NUFIP2	107	1
COL1A2	196	12
MSL2	88	1
GCK	99	6
ATP1A1	175	2
ASH1L	331	5
OCRL	73	1
ZNF609	224	1
PAX7	111	2
EXT1	122	1
PKHD1	568	89
MGAT5	115	1
FBN2	428	17
SYK	105	1
RBM14	131	1
RB1	102	1
VCAN	420	14
ELFN2	201	1
GBA	72	14
GNAS	324	13
NF2	93	2
MGA	375	8
OPA1	122	13
SLC12A5	183	2
EEF1D	275	24
THRB	78	2
PC	248	10
EP400	594	24
SUPT5H	205	2
ATP2C1	110	4
SOX6	108	2
LRP1B	652	34
PAX3	97	5
ZNF592	209	1
KCNB1	125	1
COL11A1	241	17
HBB	39	13
JAG2	281	8
EIF4ENIF1	145	4
MSH2	128	9
GRM5	192	8
ABCA2	623	11
DNMT3B	176	9
PLEC	1450	57
ERCC6L	86	1
PDZD8	163	2
KCNC1	100	1
PPARD	74	3
BEST1	135	33
MTA1	187	1
DPYSL5	107	1
CYBB	61	1
SMARCC2	204	1
ABCA4	384	79
NR1I3	80	17
DACH2	55	1
GLG1	219	6
EMR2	126	35
AHDC1	329	1
MLLT1	118	1
PPFIA3	203	1
PML	220	19
LRP8	144	9
COL5A1	379	6
CLCN2	168	22
LTBP1	282	19
MBD5	207	1
SNPH	92	1
TRPV4	189	17
GABRD	118	1
C11orf30	170	2
TMEM201	108	2
EYA1	108	3
SCN9A	55	4
KCNQ5	169	6
MTMR3	169	9
COL4A1	312	6
TNS1	318	10
ELANE	66	1
AR	114	3
NR5A1	93	1
COL6A2	395	31
ZNF777	178	1
LCOR	51	1
CACNB2	141	17
SYNPO	163	2
TENC1	247	27
SMARCAD1	134	2
ANKRD11	645	3
PAH	67	22
CACNA1I	390	6
ZNF827	192	1
PRKAG2	102	3
CLCN5	68	2
EZH2	103	1
HNF4A	119	4
MED13	293	2
CHD3	336	14
CDKN2AIP	85	1
RORC	90	3
DPYSL2	109	1
INTS6	117	1
FBN3	556	88
ITPR1	454	12
EFEMP1	73	1
RXRA	108	1
PRNP	45	3
CHD5	403	7
CRMP1	126	2
ACVR2B	103	1
GLI3	320	2
POLG	215	22
SAP130	166	4
CPS1	229	27
CSDE1	85	2
HIC2	156	1
NPC1L1	269	34
ABCA12	360	46
ABCC11	255	59
ZMYND8	213	5
SETDB1	190	5
LRP5	404	16
FOXM1	129	10
TBX18	80	1
RARB	96	1
NOTCH2	335	6
SCN8A	277	3
HIRA	180	1
FXN	39	1
CYB5R3	56	6
HIVEP2	373	2
WHSC1L1	169	2
CIC	358	8
LEF1	82	3
MBD1	125	6
MME	94	23
TFAP2A	93	2
SACS	599	72
CAND1	170	1
SLC8A2	162	1
INO80	238	4
SULF2	182	10
KCNE1	36	3
TAF3	144	1
G6PD	82	4
SULF1	128	9
RORA	100	9
POMT1	144	38
ABCB4	158	19
GRM1	217	6
CPT1B	127	30
SETD5	194	2
CSF2RA	108	14
COL27A1	346	15
RAP1GAP	157	6
HIPK1	181	1
XKR4	103	1
MFN2	130	4
TP73	165	4
NR4A2	104	1
SBNO1	207	2
L1CAM	175	1
THOC2	125	1
EHMT1	303	2
FOXA2	80	1
EIF3A	176	1
WBP11	75	1
GABRA1	76	1
NNT	164	5
ZEB2	158	1
CDC42BPB	318	2
ABCD1	106	2
MED1	171	1
KCNJ11	71	3
TH	130	8
NEFM	129	5
DYNC1H1	780	4
ADARB1	121	2
FRMPD4	169	1
ABCC6	264	41
BCL11A	142	1
ITGB1	99	7
HEPH	130	12
NELL2	106	5
ATP7A	96	2
CAPN3	158	41
SLC4A4	167	1
GNAI2	87	1
ERF	130	1
NTRK2	140	2
TRAPPC9	238	21
ACTL6A	59	1
FBLN1	176	13
AMPD3	159	23
SAFB	162	1
GFAP	98	19
APLP2	127	7
COL11A2	248	26
SLC7A2	151	21
COL3A1	186	6
GNA11	95	1
SERBP1	60	1
PRKCE	131	1
NPHP4	54	2
DCTN1	211	13
BRAF	97	2
MSH6	248	26
YAP1	58	1
QRICH1	120	2
LRRC4	131	1
ARID1A	350	2
SUPT6H	252	4
ECE1	149	6
SRC	102	1
UPF1	237	3
EFTUD2	162	1
SMC1A	109	1
SOBP	123	1
ATP2A2	160	3
EIF2B5	93	3
TRIM46	130	1
TRPS1	176	3
TRPC5	101	1
LBR	78	4
SF1	160	1
FGFR3	271	16
KCNJ2	70	2
FLT4	312	6
ABCB1	170	15
SLC12A3	191	48
KIAA0430	294	10
EPB41L2	150	10
FURIN	192	2
MAP2K7	124	1
TFAP2D	73	1
PSEN2	108	11
BTAF1	238	3
CHD1	191	4
MYOCD	46	2
CFTR	168	84
UBAP2L	162	1
NCAPH2	129	8
ITGB8	110	2
MYCN	91	1
TNFRSF25	89	5
GNAZ	83	1
GABRA4	88	1
ACTN4	208	2
SLC26A1	173	18
LRRC4C	102	1
NFIL3	70	1
MUTYH	140	30
KRT6A	81	2
SETX	366	39
THRA	64	2
KCNMA1	229	12
NRP2	186	21
MOV10L1	212	38
MAML1	148	1
QKI	66	1
SOS1	169	2
C10orf2	116	4
HMBS	73	3
SYNJ1	192	21
GATA3	107	2
SMAD1	68	1
SLC12A6	179	14
ZNF652	75	1
CLTA	36	1
CPSF7	66	1
GNAL	73	1
KCNC2	118	6
KIF11	122	1
SKIL	91	3
BNC1	143	1
MYO7A	410	65
ZC3H10	67	1
XPO4	134	1
FOXP3	43	1
ANKRD17	335	2
NR0B1	58	1
