,evolutionary_age,gene_dnds,gene_essentiality,gene_haplo,number_of_chem_interaction_action,number_of_chem_interaction,number_of_chem,number_of_pathway,number_of_phenotype,number_of_rare_disease,number_of_total_disease,phylogenetic_number
0,454.6,0.036989532462042,0.0,0.475,6,19,16,0,41,26.0,37.0,1.0
1,,,,,6,21,17,21,348,8.0,10.0,
2,910.0,0.10478529677267763,0.0,0.369,6,14,14,6,317,23.0,26.0,1.0
3,,,,,17,75,65,5,469,42.0,56.0,
4,361.2,0.2159397250380308,0.0,,5,20,19,7,282,11.0,11.0,1.0
5,842.0,2.1384707452752547,0.0,0.227,8,22,20,6,274,47.0,54.0,4.0
6,910.0,0.0451260184953322,2.0,,20,53,48,13,353,8.0,10.0,1.0
7,797.0,0.12208738713410687,0.0,0.115,6,18,18,9,99,18.0,24.0,2.0
8,454.6,0.18779291518386235,0.0,,8,11,12,0,117,13.0,15.0,1.0
9,454.6,0.06260788566147157,1.0,0.7440000000000001,6,19,17,0,242,3.0,4.0,1.0
10,,,,,6,20,16,5,0,2.0,4.0,
11,454.6,0.3349186590459394,0.0,0.516,5,19,19,0,244,85.0,88.0,1.0
12,910.0,0.1609277497241493,1.0,0.328,8,29,26,8,311,85.0,119.0,4.0
13,910.0,0.04975462194946786,0.0,0.21600000000000005,7,25,21,3,24,14.0,14.0,4.0
14,842.0,0.10283745929905466,1.0,0.95,40,158,113,94,231,70.0,98.0,4.0
15,842.0,0.07223259843094179,0.0,,8,28,27,18,61,13.0,14.0,3.0
16,1368.0,0.2667854723160763,0.0,0.203,9,25,25,12,157,34.0,41.0,5.0
17,910.0,0.13905079049229055,0.0,0.392,13,50,45,5,0,9.0,10.0,3.0
18,910.0,0.09154001074245724,1.0,,19,98,80,90,751,103.0,142.0,4.0
19,324.5,0.12532204225306642,1.0,0.532,9,36,33,4,206,10.0,14.0,1.0
20,910.0,,0.0,0.235,6,28,23,7,0,3.0,4.0,8.0
21,,,,,2,7,7,0,551,44.0,67.0,
22,454.6,0.3094112065008091,0.0,0.441,15,46,33,15,163,34.0,58.0,1.0
23,1628.0,0.031884610053640065,2.0,0.8059999999999999,14,72,63,53,9,11.0,14.0,1.0
24,1368.0,0.08197058331817593,0.0,0.992,4,16,16,3,294,8.0,10.0,2.0
25,910.0,0.17695397848613445,0.0,0.261,10,32,36,4,185,4.0,4.0,8.0
26,1628.0,0.13985505861648806,1.0,0.379,5,18,18,11,284,14.0,14.0,1.0
27,910.0,0.1644929981505397,0.0,0.251,14,91,76,10,0,8.0,19.0,7.0
28,361.2,0.04167366937581565,0.0,0.892,8,36,34,11,159,10.0,10.0,1.0
29,454.6,0.11143178935767338,0.0,0.5429999999999999,8,43,41,0,0,2.0,3.0,1.0
30,1628.0,0.14668095789631708,0.0,0.386,10,38,34,95,134,7.0,9.0,7.0
31,910.0,0.13702690975354825,0.0,,3,18,18,12,203,12.0,22.0,2.0
32,1628.0,0.13725315274480807,1.0,0.24,8,27,30,0,71,12.0,14.0,1.0
33,0.0,0.05545326679549231,1.0,0.7929999999999999,8,26,23,15,209,2.0,3.0,1.0
34,910.0,0.14325170653967265,0.0,0.317,8,28,26,1,417,14.0,18.0,8.0
35,1628.0,0.01966796243127625,1.0,,75,439,233,80,260,103.0,153.0,1.0
36,361.2,0.1788045017101256,0.0,0.338,6,20,21,0,0,0.0,1.0,1.0
37,842.0,,,,6,20,17,0,212,5.0,5.0,1.0
38,361.2,0.43200904536608586,0.0,,7,19,13,0,166,7.0,8.0,1.0
39,1368.0,0.17686320881708162,2.0,0.74,5,12,12,37,0,2.0,2.0,1.0
40,910.0,0.11280405484517428,0.0,,7,40,39,0,0,8.0,11.0,8.0
41,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
42,361.2,0.5161270224899278,0.0,,4,8,8,0,154,13.0,14.0,1.0
43,,,,,4,7,7,0,150,0.0,0.0,
44,910.0,0.12813934513693098,0.0,0.535,8,47,39,2,247,30.0,47.0,6.0
45,1628.0,0.12629046292279275,0.0,0.258,6,17,16,1,537,21.0,26.0,1.0
46,176.1,0.6501549525347267,0.0,0.229,10,37,32,4,438,29.0,38.0,1.0
47,910.0,0.117397837285766,0.0,0.225,11,46,40,8,163,7.0,9.0,1.0
48,361.2,0.0844957310668884,0.0,0.52,8,31,30,3,0,1.0,2.0,1.0
49,842.0,0.13249926406707854,1.0,,7,30,31,0,169,8.0,8.0,2.0
50,324.5,0.10443245147582372,1.0,0.388,6,18,14,0,0,1.0,1.0,1.0
51,454.6,0.09376367060379598,0.0,0.809,4,25,25,6,179,12.0,18.0,1.0
52,,0.12584426170765378,0.0,,5,12,11,6,175,16.0,23.0,
53,176.1,0.1955033739328612,0.0,0.214,6,22,19,6,132,8.0,8.0,1.0
54,361.2,0.21777978770322431,0.0,0.302,8,21,17,0,302,4.0,6.0,1.0
55,797.0,0.2036063540066856,0.0,0.7,11,59,46,4,43,118.0,202.0,1.0
56,842.0,0.20068258906892253,0.0,,17,101,89,10,493,14.0,15.0,1.0
57,1628.0,0.06231406255707925,1.0,0.885,14,50,46,38,261,16.0,26.0,3.0
58,4200.0,0.0197736329369545,1.0,,7,18,21,8,169,21.0,21.0,2.0
59,361.2,0.3417109373123407,1.0,0.401,8,29,33,4,114,3.0,4.0,1.0
60,176.1,0.6501549525347267,0.0,0.229,10,37,32,4,438,29.0,38.0,1.0
61,910.0,0.19868480239880387,0.0,0.116,5,17,14,6,137,13.0,16.0,1.0
62,910.0,0.16854972669158194,1.0,0.271,13,76,53,18,202,14.0,16.0,1.0
63,797.0,0.22309344985168533,1.0,0.277,71,649,310,35,194,104.0,197.0,4.0
64,910.0,0.13668891561102425,1.0,,4,22,22,0,327,6.0,12.0,1.0
65,1368.0,0.19489425838095947,1.0,0.984,35,204,140,27,185,38.0,54.0,1.0
66,842.0,0.14437519309203264,1.0,0.213,8,22,23,18,248,7.0,9.0,2.0
67,361.2,0.20211905916994136,0.0,,15,57,48,15,247,23.0,28.0,3.0
68,842.0,,1.0,0.967,33,172,78,14,282,61.0,78.0,2.0
69,176.1,0.028904583198490805,1.0,0.6759999999999999,8,26,21,0,223,9.0,17.0,1.0
70,454.6,0.07243982012676567,0.0,0.267,8,32,26,0,331,18.0,20.0,1.0
71,910.0,,1.0,0.713,8,29,30,0,0,4.0,6.0,2.0
72,,,,,12,46,31,7,196,11.0,15.0,
73,842.0,0.13556487750725846,1.0,0.479,7,18,22,0,221,14.0,15.0,1.0
74,361.2,0.2029622120357439,0.0,0.7979999999999999,6,21,17,0,282,27.0,32.0,1.0
75,910.0,0.10569876494556993,0.0,0.435,13,56,50,12,194,74.0,96.0,4.0
76,4200.0,0.03410118674276455,1.0,,9,44,39,20,380,9.0,12.0,1.0
77,842.0,0.2557163496307361,1.0,0.364,6,44,40,5,0,1.0,2.0,3.0
78,1368.0,0.11037259824986026,0.0,,11,30,26,9,379,53.0,71.0,14.0
79,454.6,0.11905943420994185,0.0,0.404,7,24,23,0,0,1.0,1.0,1.0
80,842.0,0.0889998864371245,1.0,0.843,24,123,72,11,361,40.0,51.0,2.0
81,454.6,0.4554254390747367,0.0,0.4,10,56,52,0,0,12.0,20.0,1.0
82,1368.0,0.3687173152039218,1.0,,7,19,22,6,309,9.0,10.0,1.0
83,910.0,0.13819513087343374,0.0,0.331,10,35,28,4,0,12.0,14.0,3.0
84,91.0,0.5003474896775915,0.0,,6,16,15,0,0,3.0,3.0,1.0
85,1628.0,0.1867865220828744,0.0,0.17,12,50,43,6,253,11.0,14.0,1.0
86,176.1,0.6501549525347267,0.0,0.229,10,37,32,4,438,29.0,38.0,1.0
87,454.6,,1.0,0.483,7,17,18,2,85,28.0,29.0,1.0
88,842.0,0.05305783421812719,0.0,0.6629999999999999,13,32,30,8,322,57.0,79.0,10.0
89,1628.0,0.2577327711650864,1.0,0.208,6,15,15,25,206,14.0,16.0,1.0
90,797.0,0.10590970889061566,0.0,,4,12,9,0,0,4.0,4.0,12.0
