protein	age	taxon
ENSG00000127990~O43556~SGCE	454.6	Euteleostomi
ENSG00000138002~Q9UG01~IFT172	910.0	Bilateria
ENSG00000100815~Q15643~TRIP11	361.2	Tetrapoda
ENSG00000204248~P13942~COL11A2	842.0	Deuterostomia
ENSG00000165119~P61978~HNRNPK	910.0	Bilateria
ENSG00000100997~Q8N2K0~ABHD12	797.0	Chordata
ENSG00000142156~P12109~COL6A1	361.2	Tetrapoda
ENSG00000186765~O14926~FSCN2	454.6	Euteleostomi
ENSG00000171532~Q15784~NEUROD2	454.6	Euteleostomi
ENSG00000104133~Q96JI7~SPG11	454.6	Euteleostomi
ENSG00000155657~Q8WZ42~TTN	910.0	Bilateria
ENSG00000129159~P48547~KCNC1	910.0	Bilateria
ENSG00000096968~O60674~JAK2	842.0	Deuterostomia
ENSG00000131089~O43307~ARHGEF9	842.0	Deuterostomia
ENSG00000171298~P10253~GAA	1368.0	Opisthokonta
ENSG00000099204~O14639~ABLIM1	910.0	Bilateria
ENSG00000068078~P22607~FGFR3	910.0	Bilateria
ENSG00000171206~Q9BZR9~TRIM8	324.5	Amniota
ENSG00000130827~P51805~PLXNA3	910.0	Bilateria
ENSG00000157766~P16112~ACAN	454.6	Euteleostomi
ENSG00000167085~P35232~PHB	1628.0	Eukaryota
ENSG00000139613~Q8TAQ2~SMARCC2	1368.0	Opisthokonta
ENSG00000004399~Q9Y4D7~PLXND1	910.0	Bilateria
ENSG00000103051~Q9H9E3~COG4	1628.0	Eukaryota
ENSG00000154734~Q9UHI8~ADAMTS1	910.0	Bilateria
ENSG00000114279~P61328~FGF12	361.2	Tetrapoda
ENSG00000163602~Q8N488~RYBP	454.6	Euteleostomi
ENSG00000058404~Q13554~CAMK2B	1628.0	Eukaryota
ENSG00000101986~P33897~ABCD1	910.0	Bilateria
ENSG00000027001~Q99797~MIPEP	1628.0	Eukaryota
ENSG00000143614~Q8WXI9~GATAD2B	0.0	HUMAN
ENSG00000196159~Q6V0I7~FAT4	910.0	Bilateria
ENSG00000198793~P42345~MTOR	1628.0	Eukaryota
ENSG00000171462~Q6UY11~DLK2	361.2	Tetrapoda
ENSG00000160949~Q96HA7~TONSL	842.0	Deuterostomia
ENSG00000141431~Q9C0F0~ASXL3	361.2	Tetrapoda
ENSG00000053900~Q9UJX5~ANAPC4	1368.0	Opisthokonta
ENSG00000083857~Q14517~FAT1	910.0	Bilateria
ENSG00000119669~Q9H1B7~IRF2BPL	361.2	Tetrapoda
ENSG00000141519~Q4G0X9~CCDC40	361.2	Tetrapoda
ENSG00000107099~Q8NF50~DOCK8	910.0	Bilateria
ENSG00000084073~O75844~ZMPSTE24	1628.0	Eukaryota
ENSG00000171456~Q8IXJ9~ASXL1	176.1	Theria
ENSG00000119335~Q01105~SET	910.0	Bilateria
ENSG00000101134~Q9P104~DOK5	361.2	Tetrapoda
ENSG00000164087~Q8NBT0~POC1A	842.0	Deuterostomia
ENSG00000132872~Q9H2B2~SYT4	324.5	Amniota
ENSG00000124222~O14662~STX16	454.6	Euteleostomi
ENSG00000135454~Q00973~B4GALNT1	176.1	Theria
ENSG00000085185~Q5H9F3~BCORL1	361.2	Tetrapoda
ENSG00000131095~P14136~GFAP	797.0	Chordata
ENSG00000172893~Q9UBM7~DHCR7	842.0	Deuterostomia
ENSG00000138814~Q08209~PPP3CA	1628.0	Eukaryota
ENSG00000108883~Q15029~EFTUD2	4200.0	Cellular Organisms
ENSG00000143970~Q76L83~ASXL2	361.2	Tetrapoda
ENSG00000175084~P17661~DES	454.6	Euteleostomi
ENSG00000124615~Q9NZB8~MOCS1	910.0	Bilateria
ENSG00000145348~Q8TEA7~TBCK	910.0	Bilateria
ENSG00000161533~Q15067~ACOX1	910.0	Bilateria
ENSG00000039068~P12830~CDH1	797.0	Chordata
ENSG00000183765~O96017~CHEK2	1368.0	Opisthokonta
ENSG00000165458~O15357~INPPL1	842.0	Deuterostomia
ENSG00000163359~P12111~COL6A3	361.2	Tetrapoda
ENSG00000106462~Q15910~EZH2	842.0	Deuterostomia
ENSG00000185129~Q00577~PURA	176.1	Theria
ENSG00000101126~Q9H2P0~ADNP	454.6	Euteleostomi
ENSG00000172869~Q9Y485~DMXL1	910.0	Bilateria
ENSG00000133422~Q9Y6X9~MORC2	842.0	Deuterostomia
ENSG00000052850~Q9H161~ALX4	361.2	Tetrapoda
ENSG00000096696~P15924~DSP	910.0	Bilateria
ENSG00000114573~P38606~ATP6V1A	4200.0	Cellular Organisms
ENSG00000183856~Q86VI3~IQGAP3	842.0	Deuterostomia
ENSG00000092054~P12883~MYH7	1368.0	Opisthokonta
ENSG00000136895~Q5VVW2~GARNL3	454.6	Euteleostomi
ENSG00000119772~Q9Y6K1~DNMT3A	842.0	Deuterostomia
ENSG00000076706~P43121~MCAM	454.6	Euteleostomi
ENSG00000007541~Q9BRB3~PIGQ	1368.0	Opisthokonta
ENSG00000110076~Q9P2S2~NRXN2	910.0	Bilateria
ENSG00000017621~Q9H6Y5~MAGIX	91.0	Euarchontoglires
ENSG00000147383~Q15738~NSDHL	1628.0	Eukaryota
ENSG00000170113~Q7RTP0~NIPA1	454.6	Euteleostomi
ENSG00000136531~Q99250~SCN2A	842.0	Deuterostomia
ENSG00000060069~Q9Y5B0~CTDP1	1628.0	Eukaryota
ENSG00000101542~Q9HBT6~CDH20	797.0	Chordata
ENSG00000065883~Q14004~CDK13	1368.0	Opisthokonta
ENSG00000156052~P50148~GNAQ	910.0	Bilateria
ENSG00000155897~P40145~ADCY8	910.0	Bilateria
ENSG00000101680~P25391~LAMA1	910.0	Bilateria
ENSG00000182492~P21810~BGN	454.6	Euteleostomi
ENSG00000172572~Q14432~PDE3A	454.6	Euteleostomi
ENSG00000130826~O60832~DKC1	4200.0	Cellular Organisms
ENSG00000108001~Q9H4W6~EBF3	910.0	Bilateria
ENSG00000079482~O60890~OPHN1	910.0	Bilateria
ENSG00000085511~Q9Y6R4~MAP3K4	1368.0	Opisthokonta
ENSG00000120533~Q9NPA8~ENY2	842.0	Deuterostomia
ENSG00000100243~P00387~CYB5R3	1628.0	Eukaryota
ENSG00000197912~Q9UQ90~SPG7	0.0	HUMAN
ENSG00000134352~P40189~IL6ST	454.6	Euteleostomi
ENSG00000139219~P02458~COL2A1	842.0	Deuterostomia
ENSG00000059573~P54886~ALDH18A1	4200.0	Cellular Organisms
ENSG00000073578~P31040~SDHA	4200.0	Cellular Organisms
ENSG00000121879~P42336~PIK3CA	910.0	Bilateria
ENSG00000165102~Q68CP4~HGSNAT	842.0	Deuterostomia
ENSG00000087460~Q5JWF2~GNAS	910.0	Bilateria
ENSG00000042493~P40121~CAPG	454.6	Euteleostomi
ENSG00000084636~Q07092~COL16A1	324.5	Amniota
ENSG00000155495~O60732~MAGEC1	29.6	Catarrhini
ENSG00000160224~O43918~AIRE	324.5	Amniota
ENSG00000168259~Q99615~DNAJC7	1628.0	Eukaryota
ENSG00000197170~O00232~PSMD12	1628.0	Eukaryota
ENSG00000158486~Q8TD57~DNAH3	1628.0	Eukaryota
ENSG00000165409~P16473~TSHR	910.0	Bilateria
ENSG00000172062~Q16637~SMN1	910.0	Bilateria
ENSG00000187555~Q93009~USP7	1628.0	Eukaryota
ENSG00000156804~Q969P5~FBXO32	910.0	Bilateria
ENSG00000196628~P15884~TCF4	797.0	Chordata
ENSG00000197102~Q14204~DYNC1H1	1628.0	Eukaryota
ENSG00000174579~Q9HCI7~MSL2	797.0	Chordata
ENSG00000179941~Q8TAM1~BBS10	176.1	Theria
ENSG00000100823~P27695~APEX1	4200.0	Cellular Organisms
ENSG00000138081~Q86XK2~FBXO11	910.0	Bilateria
ENSG00000176165~P55316~FOXG1	910.0	Bilateria
ENSG00000166147~P35555~FBN1	842.0	Deuterostomia
ENSG00000158321~Q8WXX7~AUTS2	454.6	Euteleostomi
ENSG00000068796~O00139~KIF2A	1628.0	Eukaryota
ENSG00000074181~Q9UM47~NOTCH3	910.0	Bilateria
ENSG00000143164~Q58WW2~DCAF6	361.2	Tetrapoda
ENSG00000215301~O00571~DDX3X	1628.0	Eukaryota
ENSG00000166130~Q70UQ0~IKBIP	454.6	Euteleostomi
ENSG00000105409~P13637~ATP1A3	1628.0	Eukaryota
ENSG00000131018~Q8NF91~SYNE1	842.0	Deuterostomia
ENSG00000101901~Q9H5U8~ALG13	324.5	Amniota
ENSG00000177628~P04062~GBA	910.0	Bilateria
ENSG00000153234~P43354~NR4A2	910.0	Bilateria
ENSG00000095787~Q9BTA9~WAC	454.6	Euteleostomi
ENSG00000185567~Q8IVF2~AHNAK2	454.6	Euteleostomi
ENSG00000121406~Q6P9A3~ZNF549	29.6	Catarrhini
ENSG00000142599~Q9P2R6~RERE	842.0	Deuterostomia
ENSG00000126012~P41229~KDM5C	1368.0	Opisthokonta
ENSG00000136854~P61764~STXBP1	1628.0	Eukaryota
ENSG00000150361~Q9NR64~KLHL1	842.0	Deuterostomia
ENSG00000039650~Q96T60~PNKP	176.1	Theria
ENSG00000026103~P25445~FAS	324.5	Amniota
ENSG00000103489~Q86Y38~XYLT1	910.0	Bilateria
ENSG00000135870~Q5TC82~RC3H1	910.0	Bilateria
ENSG00000080644~P32297~CHRNA3	910.0	Bilateria
ENSG00000108784~P54802~NAGLU	910.0	Bilateria
ENSG00000134250~Q04721~NOTCH2	910.0	Bilateria
ENSG00000168036~P35222~CTNNB1	910.0	Bilateria
ENSG00000169032~Q02750~MAP2K1	1628.0	Eukaryota
ENSG00000103089~Q7L5A8~FA2H	1368.0	Opisthokonta
ENSG00000001626~P13569~CFTR	1628.0	Eukaryota
ENSG00000055332~P19525~EIF2AK2	454.6	Euteleostomi
ENSG00000177189~P51812~RPS6KA3	1368.0	Opisthokonta
ENSG00000183454~Q12879~GRIN2A	454.6	Euteleostomi
ENSG00000103249~P51798~CLCN7	910.0	Bilateria
ENSG00000168906~P31153~MAT2A	4200.0	Cellular Organisms
ENSG00000147144~Q96HB5~CCDC120	220.2	Mammalia
ENSG00000145020~P48728~AMT	4200.0	Cellular Organisms
ENSG00000030582~P28799~GRN	842.0	Deuterostomia
ENSG00000131398~Q14003~KCNC3	910.0	Bilateria
ENSG00000184743~Q6DD88~ATL3	910.0	Bilateria
